iter	Passed	Remaining
399	27188	27188
400	27257	27121
401	27320	27048
402	27382	26974
403	27443	26899
404	27508	26829
405	27558	26744
406	27607	26657
407	27660	26575
408	27802	26579
409	27879	26519
410	27982	26484
411	28047	26414
412	28107	26337
413	28174	26268
414	28224	26184
415	28284	26109
416	28340	26029
417	28394	25949
418	28450	25870
419	28504	25789
420	28559	25710
421	28618	25634
422	28672	25554
423	28733	25480
424	28798	25410
425	28852	25330
426	28910	25254
427	28957	25168
428	29002	25081
429	29051	24997
430	29107	24919
431	29154	24835
432	29218	24764
433	29295	24705
434	29352	24629
435	29407	24550
436	29465	24475
437	29526	24403
438	29576	24321
439	29622	24236
440	29679	24160
441	29760	24104
442	29816	24027
443	29867	23947
444	29920	23869
445	29973	23790
446	30033	23717
447	30091	23643
448	30141	23562
449	30199	23488
450	30252	23410
451	30297	23326
452	30353	23250
453	30404	23171
454	30451	23089
455	30498	23007
456	30550	22929
457	30597	22847
458	30642	22764
459	30696	22688
460	30742	22606
461	30801	22534
462	30861	22462
463	30911	22384
464	30965	22308
465	31018	22231
466	31068	22153
467	31121	22077
468	31174	22001
469	31220	21920
470	31263	21838
471	31317	21763
472	31361	21681
473	31406	21600
474	31456	21522
475	31508	21446
476	31560	21370
477	31611	21294
478	31657	21214
479	31714	21143
480	31763	21065
481	31825	20996
482	31880	20923
483	31926	20844
484	31974	20767
485	32022	20689
486	32072	20613
487	32111	20529
488	32162	20455
489	32224	20386
490	32286	20318
491	32327	20237
492	32374	20160
493	32422	20083
494	32466	20004
495	32515	19929
496	32558	19849
497	32604	19772
498	32645	19692
499	32693	19616
500	32738	19538
501	32788	19464
502	32833	19386
503	32876	19308
504	32923	19232
505	32970	19156
506	33023	19084
507	33080	19014
508	33131	18941
509	33186	18870
510	33235	18796
511	33290	18725
512	33343	18653
513	33398	18583
514	33457	18515
515	33519	18448
516	33572	18377
517	33645	18316
518	33703	18248
519	33782	18190
520	33843	18123
521	33888	18047
522	33943	17977
523	33984	17900
524	34036	17828
525	34086	17756
526	34138	17684
527	34198	17617
528	34252	17546
529	34307	17477
530	34358	17405
531	34417	17338
532	34476	17270
533	34525	17198
534	34574	17125
535	34623	17053
536	34663	16976
537	34714	16905
538	34771	16837
539	34816	16763
540	34868	16692
541	34919	16622
542	34979	16555
543	35033	16486
544	35140	16441
545	35208	16378
546	35273	16314
547	35325	16244
548	35376	16173
549	35441	16109
550	35502	16043
551	35572	15981
552	35630	15914
553	35689	15847
554	35748	15781
555	35805	15713
556	35863	15646
557	35920	15578
558	35991	15516
559	36117	15478
560	36248	15442
561	36349	15393
562	36466	15350
563	36579	15306
564	36715	15271
565	36929	15267
566	37198	15286
567	37444	15294
568	37665	15291
569	37796	15251
570	37893	15197
571	37976	15137
572	38046	15072
573	38122	15009
574	38206	14950
575	38273	14884
576	38359	14825
577	38437	14763
578	38502	14696
579	38572	14630
580	38638	14564
581	38713	14500
582	38779	14434
583	38846	14368
584	38903	14297
585	38963	14229
586	39034	14164
587	39100	14097
588	39179	14035
589	39245	13968
590	39309	13901
591	39382	13837
592	39450	13771
593	39520	13705
594	39597	13642
595	39676	13580
596	39748	13515
597	39819	13450
598	39881	13382
599	39965	13321
600	40032	13255
601	40114	13193
602	40204	13134
603	40302	13078
604	40348	13005
605	40402	12934
606	40459	12864
607	40511	12793
608	40557	12719
609	40612	12649
610	40662	12578
611	40713	12506
612	40774	12438
613	40826	12367
614	40891	12300
615	40953	12232
616	40999	12160
617	41050	12089
618	41104	12019
619	41154	11947
620	41204	11877
621	41256	11806
622	41312	11737
623	41355	11664
624	41396	11591
625	41441	11518
626	41493	11448
627	41548	11379
628	41605	11310
629	41659	11241
630	41728	11176
631	41783	11107
632	41827	11035
633	41888	10967
634	41942	10898
635	42001	10830
636	42056	10761
637	42130	10697
638	42200	10632
639	42292	10573
640	42368	10509
641	42431	10442
642	42490	10374
643	42543	10305
644	42600	10237
645	42654	10168
646	42709	10099
647	42753	10028
648	42810	9960
649	42869	9892
650	42916	9822
651	42964	9752
652	43016	9683
653	43066	9614
654	43112	9544
655	43159	9473
656	43211	9405
657	43275	9339
658	43327	9270
659	43378	9201
660	43435	9133
661	43544	9077
662	43607	9010
663	43696	8949
664	43777	8887
665	43849	8822
666	43912	8756
667	43977	8690
