iter	RMSE
257	35368.04468
258	35367.20542
259	35366.39261
260	35365.37347
261	35364.5338
262	35363.17428
263	35362.52021
264	35361.46726
265	35360.6117
266	35359.63738
267	35359.0569
268	35358.33814
269	35357.49651
270	35356.63318
271	35355.73391
272	35354.81682
273	35354.06402
274	35353.18214
275	35352.4051
276	35351.77422
277	35350.9735
278	35350.07115
279	35348.84395
280	35348.04973
281	35347.14071
282	35346.05013
283	35345.01838
284	35343.97792
285	35342.94346
286	35341.85023
287	35341.03996
288	35340.04964
289	35338.92501
290	35337.66941
291	35336.84861
292	35335.64401
293	35334.85331
294	35333.89016
295	35332.73775
296	35331.74909
297	35330.71771
298	35329.90475
299	35329.13899
300	35328.14289
301	35327.0967
302	35325.98436
303	35325.24193
304	35324.43335
305	35323.19361
306	35321.85825
307	35320.90441
308	35320.13522
309	35319.16504
310	35318.4899
311	35317.4979
312	35316.52488
313	35315.52202
314	35314.55369
315	35313.68358
316	35312.32251
317	35311.20674
318	35310.23501
319	35309.17687
320	35307.86092
321	35306.94715
322	35305.91865
323	35304.50951
324	35303.34464
325	35302.30935
326	35301.38761
327	35300.42842
328	35299.23319
329	35298.30419
330	35296.97444
331	35295.74841
332	35294.92052
333	35293.73563
334	35292.61006
335	35291.8176
336	35290.77775
337	35289.70333
338	35289.00022
339	35288.24041
340	35286.94294
341	35285.84452
342	35284.80105
343	35283.84334
344	35283.02242
345	35281.96328
346	35281.04073
347	35280.33287
348	35279.58944
349	35278.81678
350	35277.63212
351	35276.67867
352	35275.62019
353	35274.5917
354	35273.71845
355	35272.70739
356	35272.01999
357	35270.91349
358	35270.00614
359	35269.1073
360	35268.21118
361	35267.15545
362	35266.25228
363	35265.30043
364	35264.1947
365	35263.16957
366	35262.02997
367	35260.88311
368	35259.83699
369	35258.9386
370	35258.03097
371	35257.28052
372	35256.40336
373	35255.54339
374	35254.69015
375	35253.95785
376	35252.92197
377	35252.11586
378	35251.42571
379	35250.51403
380	35249.3428
381	35248.21385
382	35247.199
383	35245.86823
384	35244.99801
385	35244.00245
386	35243.24708
387	35242.4562
388	35241.64947
389	35240.63355
390	35239.84015
391	35238.77139
392	35237.3958
393	35236.10654
394	35234.82008
395	35233.61038
396	35232.63603
397	35231.74896
398	35230.51913
399	35229.4553
400	35228.35083
401	35227.31925
402	35226.63166
403	35225.5387
404	35224.45748
405	35223.68317
406	35222.82985
407	35221.94192
408	35220.96192
409	35220.04434
410	35218.94877
411	35218.05208
412	35217.15651
413	35216.07362
414	35215.08269
415	35214.03377
416	35213.1126
417	35211.9495
418	35210.9184
419	35209.81369
420	35208.96012
421	35207.93471
422	35206.78149
423	35205.925
424	35205.08726
425	35204.0905
426	35202.91433
427	35201.88412
428	35201.13301
429	35199.65119
430	35198.67499
431	35197.84543
432	35196.74163
433	35195.93389
434	35195.23504
435	35194.12173
436	35193.03222
437	35192.1362
438	35191.11982
439	35190.26775
440	35189.14072
441	35187.94259
442	35186.97092
443	35186.37268
444	35185.62004
445	35184.81134
446	35183.98177
447	35183.05195
448	35182.27598
449	35181.22608
450	35179.96181
451	35178.95068
452	35177.89293
453	35176.82942
454	35175.78891
455	35174.94373
456	35173.86362
457	35172.88223
458	35171.78811
459	35171.07729
460	35170.44713
461	35169.36558
462	35168.46983
463	35167.47846
464	35166.56965
465	35165.48624
466	35164.37646
467	35163.5
468	35162.33472
469	35161.44285
470	35160.42309
471	35159.3111
472	35158.12298
473	35157.21111
474	35156.38959
475	35155.33587
476	35154.30794
477	35153.29986
478	35152.47989
479	35151.59499
480	35150.71074
481	35149.52141
482	35148.26201
483	35147.31059
484	35145.98972
485	35145.36364
486	35144.64189
487	35144.04089
488	35143.0555
489	35142.11105
490	35141.25992
491	35140.25654
492	35138.98902
493	35138.0174
494	35137.10592
495	35135.85292
496	35135.05274
497	35134.16561
498	35133.29518
499	35132.3952
500	35131.5554
501	35130.43108
502	35129.64002
503	35128.79224
504	35127.93975
505	35127.39868
506	35126.69873
507	35125.77796
508	35124.7999
509	35123.99166
510	35122.97155
511	35121.78721
512	35120.60837
513	35119.71347
514	35118.98997
515	35117.81476
516	35116.70792
517	35116.04724
518	35115.153
519	35114.23741
520	35113.46529
521	35112.66261
522	35111.63485
523	35111.09305
524	35110.38184
525	35109.53947
526	35108.64722
527	35107.71347
528	35106.96176
529	35106.12257
530	35105.04746
531	35104.08298
532	35103.13387
533	35102.04497
534	35101.19427
535	35100.09211
536	35099.00988
537	35098.05055
538	35097.03592
539	35095.92212
540	35094.91994
541	35093.70648
542	35092.77427
543	35092.04579
544	35091.21442
545	35090.42536
546	35089.43376
547	35088.41519
548	35087.4892
549	35086.47685
550	35085.27722
551	35084.16948
552	35083.2514
553	35082.50832
554	35081.39802
555	35080.41909
556	35079.50158
557	35078.55612
558	35077.56665
559	35076.40925
560	35075.28433
561	35073.91173
562	35073.04407
563	35072.33982
564	35071.61336
565	35070.44711
566	35069.42668
567	35068.61416
568	35067.90218
569	35067.08363
570	35066.04234
571	35065.05312
572	35064.19066
573	35063.3244
574	35062.54767
575	35061.51029
576	35060.31748
577	35059.38332
578	35058.38842
579	35057.59081
580	35056.53597
581	35055.70047
582	35054.76304
583	35053.90635
584	35052.97451
585	35052.26696
586	35051.45003
587	35050.56379
588	35049.45708
589	35048.40041
590	35047.43411
591	35046.764
592	35045.97169
593	35045.03087
594	35043.90621
595	35042.92829
596	35041.87482
597	35040.7325
598	35039.54979
599	35038.6978
600	35037.90549
601	35036.98905
602	35035.89807
603	35034.98861
604	35034.37502
605	35033.70216
606	35032.93263
607	35031.93309
608	35031.04296
609	35030.03315
610	35029.09223
611	35028.32417
612	35027.38618
613	35026.29981
614	35025.46641
615	35024.46197
616	35023.89619
617	35022.83306
618	35021.82394
619	35020.93783
620	35020.1111
621	35019.18887
622	35018.43597
623	35017.48844
624	35016.90063
625	35015.99363
626	35014.85291
627	35013.98695
628	35013.15927
629	35012.51545
630	35011.50757
631	35010.22748
632	35009.45058
633	35008.25446
634	35007.38004
635	35006.72773
636	35006.02469
637	35005.13932
638	35004.31102
639	35003.17656
640	35002.25564
641	35001.35703
642	35000.26404
643	34999.46767
644	34998.58223
645	34997.56875
646	34996.65991
647	34995.8239
648	34994.65945
649	34993.93381
650	34993.14097
651	34992.4137
652	34991.59403
653	34990.41694
654	34989.54346
655	34988.44431
656	34987.46367
657	34986.67924
658	34985.78677
659	34985.18034
660	34983.92578
661	34983.02312
662	34982.11307
663	34981.18457
664	34980.17299
665	34979.29936
666	34978.58858
667	34977.73364
668	34976.71571
669	34975.78498
670	34974.73442
671	34973.77813
672	34972.69541
673	34971.53417
674	34970.70621
675	34969.90142
676	34969.15174
677	34968.57741
678	34967.587
679	34966.70308
680	34965.72763
681	34964.9196
682	34963.70093
683	34962.67235
684	34961.7135
685	34960.58397
686	34959.80437
687	34958.96655
688	34958.10268
689	34957.39935
690	34956.57881
691	34955.76375
692	34954.90006
693	34954.05564
694	34953.33525
695	34952.44144
696	34951.66291
697	34950.83794
698	34949.84479
699	34948.76273
700	34947.48314
701	34946.73998
702	34945.81196
703	34944.94969
704	34944.05493
705	34943.10075
706	34942.21993
707	34941.41002
708	34940.42913
709	34939.46606
710	34938.65126
711	34937.88804
712	34936.87212
713	34935.90129
714	34934.93038
715	34933.82474
716	34932.71911
717	34931.57136
718	34930.61364
719	34929.53086
720	34928.57421
721	34927.5862
722	34926.92155
723	34926.12985
724	34925.10933
725	34924.29376
726	34923.50752
727	34922.49542
728	34921.67925
729	34920.822
730	34919.85584
731	34919.12812
732	34918.03382
733	34917.12284
734	34916.39705
735	34915.51503
736	34914.68862
737	34913.84845
738	34913.10226
739	34912.20931
740	34911.4196
741	34910.60833
742	34909.4291
743	34908.51835
744	34907.73298
745	34907.09331
746	34906.18691
747	34905.55639
748	34904.74974
749	34904.07687
750	34903.09217
751	34902.45428
752	34901.54217
753	34900.69019
754	34899.90576
755	34899.17299
756	34898.22811
757	34897.28835
758	34896.43891
759	34895.55274
760	34894.51121
761	34893.58982
762	34892.52292
763	34891.63842
764	34890.86734
765	34890.05429
766	34889.01874
767	34888.46511
768	34887.72573
769	34886.63763
770	34885.65647
771	34884.95184
772	34884.25241
773	34883.59864
774	34882.48184
775	34881.53174
776	34880.56496
777	34879.6295
778	34878.69293
779	34877.82439
780	34876.78794
781	34875.80516
782	34874.42415
783	34873.6205
784	34872.88009
785	34872.09068
786	34871.03379
787	34870.23975
788	34869.35899
789	34868.65015
790	34867.95401
791	34866.95416
792	34865.98645
793	34865.14356
794	34864.19817
795	34863.24555
796	34862.06682
797	34861.03027
798	34860.19186
799	34859.42473

5
